Date,Dollar,VIX,regime
2021-04-28,90.61000061035156,17.280000686645508,1
2021-04-29,90.61000061035156,17.610000610351562,1
2021-04-30,91.27999877929688,18.610000610351562,0
2021-05-03,90.94999694824219,18.309999465942383,0
2021-05-04,91.29000091552734,19.479999542236328,0
2021-05-05,91.30999755859375,19.149999618530273,0
2021-05-06,90.94999694824219,18.389999389648438,0
2021-05-07,90.2300033569336,16.690000534057617,0
2021-05-10,90.20999908447266,19.65999984741211,0
2021-05-11,90.13999938964844,21.84000015258789,1
2021-05-12,90.70999908447266,27.59000015258789,0
2021-05-13,90.75,23.1299991607666,1
2021-05-14,90.31999969482422,18.809999465942383,1
2021-05-17,90.22000122070312,19.719999313354492,1
2021-05-18,89.75,21.34000015258789,1
2021-05-19,90.19000244140625,22.18000030517578,0
2021-05-20,89.80999755859375,20.670000076293945,1
2021-05-21,90.0199966430664,20.149999618530273,1
2021-05-24,89.83000183105469,18.399999618530273,1
2021-05-25,89.63999938964844,18.84000015258789,0
2021-05-26,90.04000091552734,17.360000610351562,0
2021-05-27,89.97000122070312,16.739999771118164,0
2021-05-28,90.02999877929688,16.760000228881836,0
2021-06-01,89.83000183105469,17.899999618530273,1
2021-06-02,89.9000015258789,17.479999542236328,1
2021-06-03,90.5,18.040000915527344,1
2021-06-04,90.13999938964844,16.420000076293945,1
2021-06-07,89.94999694824219,16.420000076293945,-1
2021-06-08,90.08000183105469,17.06999969482422,0
2021-06-09,90.12000274658203,17.889999389648438,1
2021-06-10,90.08000183105469,16.100000381469727,1
2021-06-11,90.55999755859375,15.649999618530273,1
2021-06-14,90.5199966430664,16.389999389648438,0
2021-06-15,90.54000091552734,17.020000457763672,-1
2021-06-16,91.12999725341797,18.149999618530273,-1
2021-06-17,91.88999938964844,17.75,-1
2021-06-18,92.2300033569336,20.700000762939453,-1
2021-06-21,91.86000061035156,17.889999389648438,-1
2021-06-22,91.7300033569336,16.65999984741211,-1
2021-06-23,91.80000305175781,16.31999969482422,-1
2021-06-24,91.81999969482422,15.970000267028809,-1
2021-06-25,91.80999755859375,15.619999885559082,-1
2021-06-28,91.87999725341797,15.760000228881836,-1
2021-06-29,92.05000305175781,16.020000457763672,-1
2021-06-30,92.44000244140625,15.829999923706055,-1
2021-07-01,92.5999984741211,15.479999542236328,0
2021-07-02,92.2300033569336,15.069999694824219,0
2021-07-06,92.55000305175781,16.440000534057617,-1
2021-07-07,92.63999938964844,16.200000762939453,0
2021-07-08,92.36000061035156,19.0,-1
2021-07-09,92.12999725341797,16.18000030517578,-1
2021-07-12,92.2300033569336,16.170000076293945,-1
2021-07-13,92.75,17.1200008392334,-1
2021-07-14,92.41000366210938,16.329999923706055,-1
2021-07-15,92.62000274658203,17.010000228881836,0
2021-07-16,92.69000244140625,18.450000762939453,-1
2021-07-19,92.88999938964844,22.5,-1
2021-07-20,92.97000122070312,19.729999542236328,-1
2021-07-21,92.75,17.90999984741211,-1
2021-07-22,92.81999969482422,17.690000534057617,-1
2021-07-23,92.91000366210938,17.200000762939453,-1
2021-07-26,92.6500015258789,17.579999923706055,-1
2021-07-27,92.43000030517578,19.360000610351562,-1
2021-07-28,92.31999969482422,18.309999465942383,-1
2021-07-29,91.86000061035156,17.700000762939453,0
2021-07-30,92.16999816894531,18.239999771118164,0
2021-08-02,92.05000305175781,19.459999084472656,0
2021-08-03,92.08000183105469,18.040000915527344,0
2021-08-04,92.2699966430664,17.969999313354492,0
2021-08-05,92.23999786376953,17.280000686645508,1
2021-08-06,92.80000305175781,16.149999618530273,-1
2021-08-09,92.94999694824219,16.719999313354492,-1
2021-08-10,93.05999755859375,16.790000915527344,-1
2021-08-11,92.91000366210938,16.170000076293945,-1
2021-08-12,93.04000091552734,15.59000015258789,1
2021-08-13,92.5199966430664,15.449999809265137,1
2021-08-16,92.62999725341797,16.1200008392334,1
2021-08-17,93.12999725341797,17.90999984741211,1
2021-08-18,93.13999938964844,21.56999969482422,0
2021-08-19,93.56999969482422,21.670000076293945,-1
2021-08-20,93.5,18.559999465942383,-1
2021-08-23,92.95999908447266,17.149999618530273,-1
2021-08-24,92.88999938964844,17.219999313354492,1
2021-08-25,92.83000183105469,16.790000915527344,1
2021-08-26,93.05999755859375,18.84000015258789,0
2021-08-27,92.69000244140625,16.389999389648438,1
2021-08-30,92.6500015258789,16.190000534057617,1
2021-08-31,92.62999725341797,16.479999542236328,1
2021-09-01,92.44999694824219,16.110000610351562,1
2021-09-02,92.2300033569336,16.40999984741211,1
2021-09-03,92.04000091552734,16.40999984741211,1
2021-09-07,92.5199966430664,18.139999389648438,1
2021-09-08,92.6500015258789,17.959999084472656,-1
2021-09-09,92.4800033569336,18.799999237060547,-1
2021-09-10,92.58000183105469,20.950000762939453,-1
2021-09-13,92.62000274658203,19.3700008392334,-1
2021-09-14,92.6500015258789,19.459999084472656,-1
2021-09-15,92.48999786376953,18.18000030517578,0
2021-09-16,92.86000061035156,18.690000534057617,1
2021-09-17,93.19999694824219,20.809999465942383,0
2021-09-20,93.23999786376953,25.709999084472656,0
2021-09-21,93.19999694824219,24.360000610351562,-1
2021-09-22,93.45999908447266,20.8700008392334,-1
2021-09-23,93.0999984741211,18.6299991607666,-1
2021-09-24,93.33000183105469,17.75,-1
2021-09-27,93.37999725341797,18.760000228881836,-1
2021-09-28,93.7699966430664,23.25,-1
2021-09-29,94.33999633789062,22.559999465942383,-1
2021-09-30,94.25,23.139999389648438,-1
2021-10-01,94.04000091552734,21.100000381469727,-1
2021-10-04,93.80999755859375,22.959999084472656,-1
2021-10-05,93.9800033569336,21.299999237060547,-1
2021-10-06,94.2699966430664,21.0,-1
2021-10-07,94.22000122070312,19.540000915527344,-1
2021-10-08,94.06999969482422,18.770000457763672,1
2021-10-11,94.31999969482422,20.0,-1
2021-10-12,94.5199966430664,19.850000381469727,-1
2021-10-13,94.08000183105469,18.639999389648438,-1
2021-10-14,93.95999908447266,16.860000610351562,1
2021-10-15,93.94000244140625,16.299999237060547,1
2021-10-18,93.94999694824219,16.309999465942383,1
2021-10-19,93.79000091552734,15.699999809265137,1
2021-10-20,93.55999755859375,15.489999771118164,1
2021-10-21,93.7699966430664,15.010000228881836,1
2021-10-22,93.61000061035156,15.430000305175781,1
2021-10-25,93.80999755859375,15.239999771118164,1
2021-10-26,93.94999694824219,15.979999542236328,1
2021-10-27,93.86000061035156,16.979999542236328,1
2021-10-28,93.3499984741211,16.530000686645508,1
2021-10-29,94.12000274658203,16.260000228881836,1
2021-11-01,93.87999725341797,16.40999984741211,1
2021-11-02,94.08999633789062,16.030000686645508,1
2021-11-03,93.86000061035156,15.100000381469727,1
2021-11-04,94.3499984741211,15.4399995803833,0
2021-11-05,94.31999969482422,16.479999542236328,0
2021-11-08,94.05000305175781,17.219999313354492,1
2021-11-09,93.95999908447266,17.780000686645508,1
2021-11-10,94.8499984741211,18.729999542236328,0
2021-11-11,95.18000030517578,17.65999984741211,0
2021-11-12,95.12999725341797,16.290000915527344,0
2021-11-15,95.41000366210938,16.489999771118164,0
2021-11-16,95.91999816894531,16.3700008392334,0
2021-11-17,95.83000183105469,17.110000610351562,-1
2021-11-18,95.54000091552734,17.59000015258789,-1
2021-11-19,96.06999969482422,17.90999984741211,-1
2021-11-22,96.5,19.170000076293945,-1
2021-11-23,96.48999786376953,19.3799991607666,0
2021-11-24,96.83999633789062,18.579999923706055,0
2021-11-26,96.08999633789062,28.6200008392334,-1
2021-11-29,96.33999633789062,22.959999084472656,-1
2021-11-30,95.98999786376953,27.190000534057617,-1
2021-12-01,96.05000305175781,31.1200008392334,-1
2021-12-02,96.12999725341797,27.950000762939453,-1
2021-12-03,96.12000274658203,30.670000076293945,-1
2021-12-06,96.29000091552734,27.18000030517578,-1
2021-12-07,96.37000274658203,21.889999389648438,-1
2021-12-08,95.88999938964844,19.899999618530273,-1
2021-12-09,96.2699966430664,21.579999923706055,-1
2021-12-10,96.05000305175781,18.690000534057617,-1
2021-12-13,96.31999969482422,20.309999465942383,-1
2021-12-14,96.56999969482422,21.889999389648438,-1
2021-12-15,96.51000213623047,19.290000915527344,-1
2021-12-16,96.04000091552734,20.56999969482422,-1
2021-12-17,96.56999969482422,21.56999969482422,-1
2021-12-20,96.55000305175781,22.8700008392334,-1
2021-12-21,96.48999786376953,21.010000228881836,-1
2021-12-22,96.08000183105469,18.6299991607666,-1
2021-12-23,96.0199966430664,17.959999084472656,0
2021-12-27,96.08999633789062,17.68000030517578,1
2021-12-28,96.19999694824219,17.540000915527344,1
2021-12-29,95.93000030517578,16.950000762939453,1
2021-12-30,95.97000122070312,17.329999923706055,1
2021-12-31,95.66999816894531,17.219999313354492,1
2022-01-03,96.23999786376953,16.600000381469727,1
2022-01-04,96.29000091552734,16.90999984741211,1
2022-01-05,96.19000244140625,19.729999542236328,1
2022-01-06,96.25,19.610000610351562,0
2022-01-07,95.73999786376953,18.760000228881836,1
2022-01-10,95.98999786376953,19.399999618530273,1
2022-01-11,95.62000274658203,18.40999984741211,1
2022-01-12,95.0,17.6200008392334,1
2022-01-13,94.79000091552734,20.309999465942383,1
2022-01-14,95.16999816894531,19.190000534057617,1
2022-01-18,95.7300033569336,22.790000915527344,1
2022-01-19,95.51000213623047,23.850000381469727,1
2022-01-20,95.73999786376953,25.59000015258789,0
2022-01-21,95.63999938964844,28.850000381469727,0
2022-01-24,95.91999816894531,29.899999618530273,0
2022-01-25,95.94999694824219,31.15999984741211,0
2022-01-26,96.48999786376953,31.959999084472656,-1
2022-01-27,97.26000213623047,30.489999771118164,-1
2022-01-28,97.2699966430664,27.65999984741211,-1
2022-01-31,96.54000091552734,24.829999923706055,-1
2022-02-01,96.38999938964844,21.959999084472656,-1
2022-02-02,95.94000244140625,22.09000015258789,0
2022-02-03,95.37999725341797,24.350000381469727,0
2022-02-04,95.4800033569336,23.219999313354492,0
2022-02-07,95.4000015258789,22.860000610351562,0
2022-02-08,95.63999938964844,21.440000534057617,0
2022-02-09,95.48999786376953,19.959999084472656,0
2022-02-10,95.55000305175781,23.90999984741211,-1
2022-02-11,96.08000183105469,27.360000610351562,-1
2022-02-14,96.37000274658203,28.329999923706055,-1
2022-02-15,95.98999786376953,25.700000762939453,-1
2022-02-16,95.69999694824219,24.290000915527344,-1
2022-02-17,95.80000305175781,28.110000610351562,-1
2022-02-18,96.04000091552734,27.75,-1
2022-02-22,96.02999877929688,28.809999465942383,-1
2022-02-23,96.19000244140625,31.020000457763672,-1
2022-02-24,97.13999938964844,30.31999969482422,-1
2022-02-25,96.62000274658203,27.59000015258789,1
2022-02-28,96.70999908447266,30.149999618530273,0
2022-03-01,97.41000366210938,33.31999969482422,-1
2022-03-02,97.38999938964844,30.739999771118164,-1
2022-03-03,97.79000091552734,30.479999542236328,-1
2022-03-04,98.6500015258789,31.979999542236328,-1
2022-03-07,99.29000091552734,36.45000076293945,-1
2022-03-08,99.05999755859375,35.130001068115234,-1
2022-03-09,97.97000122070312,32.45000076293945,-1
2022-03-10,98.51000213623047,30.229999542236328,-1
2022-03-11,99.12000274658203,30.75,-1
2022-03-14,99.05999755859375,31.770000457763672,-1
2022-03-15,99.06999969482422,29.829999923706055,-1
2022-03-16,98.37999725341797,26.670000076293945,-1
2022-03-17,98.01000213623047,25.670000076293945,-1
2022-03-18,98.2300033569336,23.8700008392334,1
2022-03-21,98.5,23.530000686645508,1
2022-03-22,98.48999786376953,22.940000534057617,1
2022-03-23,98.62000274658203,23.56999969482422,1
2022-03-24,98.79000091552734,21.670000076293945,1
2022-03-25,98.80999755859375,20.809999465942383,1
2022-03-28,99.08999633789062,19.6299991607666,1
2022-03-29,98.4000015258789,18.899999618530273,1
2022-03-30,97.79000091552734,19.329999923706055,1
2022-03-31,98.30999755859375,20.559999465942383,1
2022-04-01,98.62999725341797,19.6299991607666,1
2022-04-04,98.98999786376953,18.56999969482422,1
2022-04-05,99.47000122070312,21.030000686645508,1
2022-04-06,99.5999984741211,22.100000381469727,1
2022-04-07,99.75,21.549999237060547,1
2022-04-08,99.80000305175781,21.15999984741211,1
2022-04-11,99.93000030517578,24.3700008392334,1
2022-04-12,100.29000091552734,24.260000228881836,1
2022-04-13,99.87999725341797,21.81999969482422,1
2022-04-14,100.31999969482422,22.700000762939453,0
2022-04-18,100.77999877929688,22.170000076293945,0
2022-04-19,100.95999908447266,21.3700008392334,1
2022-04-20,100.38999938964844,20.31999969482422,1
2022-04-21,100.58000183105469,22.68000030517578,0
2022-04-22,101.22000122070312,28.209999084472656,-1
2022-04-25,101.75,27.020000457763672,-1
2022-04-26,102.30000305175781,33.52000045776367,-1
2022-04-27,102.94999694824219,31.600000381469727,-1
2022-04-28,103.62000274658203,29.989999771118164,-1
2022-04-29,102.95999908447266,33.400001525878906,-1
2022-05-02,103.73999786376953,32.34000015258789,-1
2022-05-03,103.47000122070312,29.25,-1
2022-05-04,102.58999633789062,25.420000076293945,-1
2022-05-05,103.75,31.200000762939453,-1
2022-05-06,103.66000366210938,30.190000534057617,-1
2022-05-09,103.6500015258789,34.75,-1
2022-05-10,103.91999816894531,32.9900016784668,-1
2022-05-11,103.8499984741211,32.560001373291016,-1
2022-05-12,104.8499984741211,31.770000457763672,-1
2022-05-13,104.55999755859375,28.8700008392334,-1
2022-05-16,104.19000244140625,27.469999313354492,-1
2022-05-17,103.36000061035156,26.100000381469727,-1
2022-05-18,103.80999755859375,30.959999084472656,-1
2022-05-19,102.72000122070312,29.350000381469727,-1
2022-05-20,103.1500015258789,29.43000030517578,-1
2022-05-23,102.08000183105469,28.479999542236328,-1
